date,var,realized_loss,breach
2025-10-29,0.013860637696497504,-0.00048021073542194704,0
2025-10-30,0.01699943361063598,0.011059039567433416,0
2025-10-31,0.01380162077128175,-0.0032748926031152723,0
2025-11-03,0.015607835074265256,-0.0018749327948009238,0
2025-11-04,0.014216542342002212,0.011924409215691439,0
2025-11-05,0.014874041984177225,-0.0034594792291670327,0
2025-11-06,0.014901214004592713,0.010787357135266056,0
2025-11-07,0.015194140877178906,-0.0009840815731577298,0
2025-11-10,0.015901051403146287,-0.015483862123532437,0
2025-11-11,0.016126378058274504,-0.0022865871486387524,0
2025-11-12,0.016123990673401974,-0.0005562521295209495,0
2025-11-13,0.018046334067167488,0.01673328636427289,0
2025-11-14,0.01878875358616236,0.0001636093911431959,0
2025-11-17,0.016666706697749282,0.009360146600224115,0
2025-11-18,0.020343567523977747,0.008432944988599554,0
2025-11-19,0.018386874582140684,-0.0038557148069217236,0
2025-11-20,0.018240282999542112,0.015359661459324747,0
2025-11-21,0.019570923852109706,-0.00991191898261605,0
2025-11-24,0.01897448277361778,-0.014611281240599336,0
2025-11-25,0.02038937856620081,-0.009361952883328898,0
2025-11-26,0.0196035537966062,-0.00687982426960381,0
2025-11-28,0.019758384123290878,-0.005443557655063362,0
2025-12-01,0.017421363646899102,0.0045758859064223886,0
2025-12-02,0.02092628247841807,-0.001850490753330355,0
2025-12-03,0.018608219392925746,-0.0034567863924179596,0
2025-12-04,0.019357912515781357,-0.000730856697116592,0
2025-12-05,0.017056537753619386,-0.0018976599322906048,0
2025-12-08,0.01709603749687706,0.0030087410774240343,0
2025-12-09,0.01770483637337769,0.0008634949792658863,0
2025-12-10,0.015180667522385734,-0.006610321903688149,0
2025-12-11,0.01790691460342212,-0.0023242286648015318,0
2025-12-12,0.015055611983310716,0.010810218055957286,0
2025-12-15,0.0164791969350755,0.0015119558434006672,0
2025-12-16,0.017480229339173148,0.002736059397467843,0
2025-12-17,0.014320206688531298,0.011064575515952102,0
2025-12-18,0.015294685713032052,-0.007522912100961887,0
2025-12-19,0.017530020072065895,-0.009022638461698701,0
2025-12-22,0.01635329706052115,-0.006210548734107755,0
2025-12-23,0.015139151267715804,-0.004560071413091677,0
2025-12-24,0.01636484984055574,-0.003511449061324125,0
2025-12-26,0.01583342534661854,0.00010140918548689622,0
2025-12-29,0.014767450566737415,0.0035700131092760113,0
2025-12-30,0.014944330059439088,0.0012218930418649832,0
2025-12-31,0.013757092687183744,0.0074365385229543625,0
2026-01-02,0.015802340109592108,-0.0018313816388204516,0
2026-01-05,0.013137623934134595,-0.0066380302639303425,0
2026-01-06,0.01407882445228633,-0.005929612162752057,0
2026-01-07,0.012984579609417731,0.0032286065226963673,0
2026-01-08,0.013356801227358626,0.00010152683713991636,0
2026-01-09,0.013655241967644777,-0.006591615971639491,0
2026-01-12,0.013446066515767326,-0.0015691657382673743,0
2026-01-13,0.012721416450332632,0.0020014746381922994,0
2026-01-14,0.012657862436834621,0.0049273421816183926,0
2026-01-15,0.012400886283319952,-0.002719522746548074,0
2026-01-16,0.012898748060346188,0.0008382356227388815,0
2026-01-20,0.01094700077510438,0.0205668143829452,1
2026-01-21,0.01663341473214345,-0.011474992875157984,0
2026-01-22,0.0194582464511535,-0.005209569607412369,0
2026-01-23,0.017446805022375417,-0.0003627894295177114,0
2026-01-26,0.018021232914909105,-0.005065280590233361,0
2026-01-27,0.01486707112336821,-0.0039763343857141765,0
2026-01-28,0.015613921942496363,0.00010066406256274772,0
2026-01-29,0.016781213828243602,0.0019863909365824294,0
2026-01-30,0.015008208320795038,0.0029870043360058817,0
2026-02-02,0.015011355727832267,-0.004959001326611542,0
2026-02-03,0.014597206031814854,0.008491312500297705,0
2026-02-04,0.01389444270356439,0.004855687699421416,0
2026-02-05,0.015508259975273313,0.012567909230256104,0
2026-02-06,0.0177647009726283,-0.019003086155680936,0
